,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3133406343,1.0,3,2,-37.824062,144.9848639,-37.8259525,144.9526352,3416.0,2018-04-06,11:27:06,863.2800000000003,11:41:29,7.32
ID1253659061,,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-05-28,11:51:33,3697.0200000000013,12:53:10,8.53
ID1691043777,0.0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-02-21,03:44:52,12681.059999999998,7:16:13,29.93
ID3252951283,,2,8,-37.8135787,144.937065,-37.8158343,145.04645,10062.0,2018-01-24,08:16:58,2833.62,9:04:11,17.4
ID1471443835,,6,5,-37.7738026,144.9836466,-37.8045416,144.9194029,11487.0,2018-07-18,10:51:55,3148.2000000000007,11:44:23,7.41
ID1782555415,,1,4,-37.8150467,144.9601595,-37.8087762,145.0086454,4902.0,2018-06-05,19:19:57,1197.48,19:39:54,7.93
ID3401506068,,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-05-17,01:25:40,12681.059999999998,4:57:01,73.45
ID3144390471,,9,2,-38.1109156,144.6541725,-37.8134727,144.9375948,42799.0,2018-01-11,01:07:06,10253.699999999997,3:57:59,62.61
ID3990665189,1.0,2,7,-37.8148527,144.9376535,-37.8618349,144.905716,10360.0,2018-03-19,16:12:26,3395.46,17:09:01,23.46
ID1538609327,,6,1,-37.7907967,144.985865,-37.8051455,144.9723293,2610.0,2018-07-13,21:46:02,808.6800000000005,21:59:30,13.02
ID5615562701,2.0,1,9,-37.8133627,144.9416517,-38.1109156,144.6541725,42211.0,2018-04-05,06:16:20,10117.619999999999,9:04:57,913.83
ID1356340052,0.0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-06-01,22:02:41,4911.599999999998,23:24:32,16.56
ID1300814591,,1,6,-37.8165074,144.9685455,-37.7907967,144.985865,3841.0,2018-02-09,08:57:50,1055.82,9:15:25,7.09
ID1353405025,0.0,8,1,-37.807202,145.0266373,-37.8160369,144.9684751,6153.0,2018-04-26,18:57:32,1519.02,19:22:51,8.42
ID5327118543,2.0,3,4,-37.82198,145.0027637,-37.8073942,144.9986816,2096.0,2018-06-22,16:11:23,490.68000000000006,16:19:33,64.9
ID1889980420,,2,3,-37.8155778,144.9388428,-37.8224033,144.9905147,5448.0,2018-07-07,07:05:36,1417.1399999999992,7:29:13,11.11
